START TABLE: tracking_data
START METADATA:
table_name	field_name	is_identity	user_type_id	type_name	precision
TRACKING_DATA	SERIAL_NO	0	231	nvarchar	0
TRACKING_DATA	PROD_MODEL_NO	0	231	nvarchar	0
TRACKING_DATA	PANEL_ID	0	108	numeric	38
TRACKING_DATA	PATTERN_ID	0	108	numeric	38
TRACKING_DATA	BARCODE	0	231	nvarchar	0
TRACKING_DATA	SETUP_ID	0	108	numeric	38
TRACKING_DATA	TOP_BOTTOM	0	231	nvarchar	0
TRACKING_DATA	TIMESTAMP	0	56	int	10
TRACKING_DATA	IMPORT_FLAG	0	56	int	10
END METADATA:
START DATA:
SERIAL_NO	PROD_MODEL_NO	PANEL_ID	PATTERN_ID	BARCODE	SETUP_ID	TOP_BOTTOM	TIMESTAMP	IMPORT_FLAG
058170FZ38	A635BA	1191289	1191285	A635BA      058170FZ38	17256	T	1452273140	0
525768	 	1191290	1191286	 	17254	T	1452273140	0
058270FZ38	A635BA	1191291	1191287	A635BA      058270FZ38	17256	T	1452273188	0
525769	 	1191292	1191288	 	17254	T	1452273188	0
058460FZ38	A635BA	1191293	1191289	A635BA      058460FZ38	17256	T	1452273189	0
525770	 	1191294	1191290	 	17254	T	1452273189	0
058420FZ38	A635BA	1191295	1191291	A635BA      058420FZ38	17256	T	1452273189	0
525771	 	1191296	1191292	 	17254	T	1452273189	0
058400FZ38	A635BA	1191297	1191293	A635BA      058400FZ38	17256	T	1452273190	0
525772	 	1191298	1191294	 	17254	T	1452273190	0
060490FZ38	A635BA	1191299	1191295	A635BA      060490FZ38	17256	T	1452273190	0
525773	 	1191300	1191296	 	17254	T	1452273190	0
060500FZ38	A635BA	1191301	1191297	A635BA      060500FZ38	17256	T	1452273191	0
525774	 	1191302	1191298	 	17254	T	1452273191	0
060510FZ38	A635BA	1191303	1191299	A635BA      060510FZ38	17256	T	1452273191	0
525775	 	1191304	1191300	 	17254	T	1452273191	0
